Site_Name,Latitude,Longitude,Site_type,Elevation in feet,Prec (chelsa),Temp (chelsa aprile),RecAvgIndex
0,44.03426,-73.06093,running water,1708,1282,53,-0.388454019852887
1,44.08507,-73.34946,still water,114,883,80,0.066865972557562
2,44.8668,-73.30112,still water,100,861,74,-0.487791138619142
3,44.21299,-72.93555,still water,2132,1376,41,-0.44318213452859
4,44.68339,-73.09311,still water,295,903,71,-0.523433137404756
5,44.71643,-72.99476,still water,500,933,67,-0.53008430720214
6,44.31,-72.9866,still water,650,867,68,-0.045538970987992
7,43.92885,-72.6549,running water,632,808,71,2.78329505707515
8,43.09103,-73.12028,still water,869,970,75,-0.374612143303613
9,44.32859,-72.34741,still water,1238,1182,56,-0.451481172985425
10,44.73518,-71.97679,still water,1800,1018,42,0.098155400538776
11,42.79867,-73.19436,still water,1115,1199,74,-0.443883746762395
12,44.87118,-72.20275,still water,690,875,60,-0.603203765673681
13,44.8643,-72.19728,still water,717,938,60,-0.577577258779704
14,43.08984,-73.19824,still water,574,865,80,0.291692239585337
15,44.6992,-72.0886,still water,1180,942,52,-0.352537815070755
16,44.55478,-72.80476,still water,3541,1456,20,-0.762541518672019
17,44.0527,-73.1759,running water,292,934,76,0.890258378015983
18,43.15948,-72.4746,still water,595,878,77,-0.177103170680534
19,44.75833,-72.62917,still water,1137,1086,55,0.215822864040341
20,42.92647,-73.19405,still water,1001,1232,75,-0.286502688784213
21,44.97143,-72.7648,still water,722,1393,61,-0.631379877142907
22,44.20525,-72.58691,still water,990,892,63,-0.588028052232524
23,44.3828,-72.6361,running water,506,1218,47,6.95741004567267
24,44.0547,-72.342,still water,1240,926,50,-0.537914343708778
25,43.773,-73.28872,still water,697,1171,72,-0.683043491914422
26,44.80315,-71.70763,running water,1140,973,51,2.80438911243344
27,44.89488,-72.94476,running water,363,933,69,2.54076343071301
28,43.4062,-72.70739,running water,1024,879,68,5.15299944704362
29,44.81679,-72.26623,running water,807,1032,58,1.84351915539054
30,44.85248,-72.27562,running water,727,868,59,1.80519227395534
31,43.3555,-72.49885,running water,462,993,77,4.6801591069113
32,43.63491,-73.35909,running water,161,917,80,0.735050992854377
33,43.09056,-73.06333,still water,2633,1488,50,-0.73313568988824
34,42.81868,-72.54899,running water,225,949,88,5.06172391273574
35,44.87978,-72.15134,still water,991,1229,55,-0.110603313066831
36,44.19565,-72.15717,still water,726,788,65,0.145264566348294
37,44.25,-72.42157,still water,1330,1083,57,-0.731719251725327
38,43.82244,-73.38919,still water,100,747,81,-0.37339022263618
39,44.5706,-71.8944,still water,3207,1299,25,-0.6231345993895
40,44.4888,-73.1904,running water,125,956,75,-0.639280771432578
41,44.2663,-72.9045,still water,2269,1409,36,-0.128399116767692
42,43.768,-73.1846,still water,531,1098,72,-0.449801656544621
43,44.76698,-72.6142,running water,1186,1096,55,0.721033781049742
44,44.5113,-73.1652,still water,305,1000,73,-0.584767434038844
45,42.94856,-73.01187,still water,2025,960,56,-0.407220090071173
46,43.59498,-73.29042,running water,331,906,80,-0.407220090071173
47,44.32444,-72.48164,still water,1240,1013,58,1.8604916587257
48,44.86069,-72.27743,running water,737,875,60,-0.571861563530828
49,44.03411,-73.42089,still water,98,804,81,-0.225147735740373
50,43.84743,-72.41489,still water,1472,1148,56,-0.237983105633004
51,44.84098,-72.02193,running water,1166,1017,51,-0.462095696325512
52,44.2504,-72.0865,still water,764,794,62,0.648183893842526
53,43.6273,-73.3688,still water,107,776,84,-0.675137911203948
54,43.61971,-73.3721,still water,121,755,84,-0.449353057294306
55,44.14,-73.021,still water,1300,1234,57,-0.171233745225965
56,44.5581,-73.3047,still water,100,854,76,-0.347599343464867
57,44.5488,-73.1245,still water,391,1089,71,-0.459100629218379
58,44.62292,-72.50333,still water,1245,1338,54,0.132402536810428
59,42.8346,-72.549,running water,220,1046,87,-0.580730224745807
60,42.78938,-72.52618,running water,199,931,88,-0.303172215766901
61,43.0056,-72.9784,still water,1522,1056,54,0.295287124562101
62,44.86831,-72.19549,still water,730,897,61,0.314765258365709
63,43.744,-73.29852,still water,473,1053,76,-0.634727833197308
64,42.91165,-72.91596,still water,2918,1531,43,-0.387394820316296
65,42.9796,-73.1841,still water,843,933,77,-0.318911720041522
66,44.52808,-71.81792,still water,1136,782,53,0.103020717701982
67,43.35987,-73.0594,still water,1430,1016,61,-0.058558948635835
68,44.13251,-73.30371,still water,140,960,79,-0.334257184142307
69,44.0755,-73.3516,running water,130,878,80,-0.249607751093199
70,43.46798,-73.19139,still water,625,1197,73,-0.559939807658303
71,42.91,-72.95,running water,1815,1170,60,-0.528664394809869
72,42.922,-72.972,running water,1825,1027,60,-0.052463608617237
73,42.8805,-72.94937,running water,1719,990,63,3.49892277705406
74,44.7253,-71.6521,running water,1032,837,53,-0.216440277929897
75,44.7272,-71.6621,still water,1041,789,54,-0.196705293260197
76,44.9583,-72.1221,still water,984,1202,54,-0.424028127972665
77,43.64394,-72.40406,still water,525,843,75,-0.591063297731808
78,44.1907,-72.4189,still water,1280,1027,57,-0.7449016591894
79,44.6938,-72.03135,still water,1450,940,48,-0.515439888891281
80,44.68048,-72.0033,still water,1462,839,53,-0.042597675115289
81,43.24081,-73.09156,running water,932,823,73,-0.661411159333201
82,44.39278,-71.93213,still water,1720,900,60,-0.324332740829683
83,43.17922,-73.0304,still water,715,920,77,-0.611714727187638
84,42.88333,-73.21667,still water,815,880,80,-0.286709815905518
85,44.85147,-71.7483,still water,1328,899,48,-0.309215224335964
86,43.80984,-73.3307,running water,110,924,81,-0.441179470194688
87,43.80166,-73.31795,still water,100,978,80,0.690580144943927
88,43.7852,-73.31521,still water,298,993,79,-0.654712322525026
89,44.62747,-73.27736,running water,130,885,75,-0.565511244509007
90,44.7052,-72.51711,still water,1282,1358,53,-0.503931192865875
91,43.47,-72.9874,still water,624,758,76,-0.570027916282965
92,43.27736,-73.00537,still water,695,826,75,-0.569110035467573
93,43.2834,-73.00481,running water,727,826,74,1.19640036558986
94,44.36294,-72.16402,still water,1285,830,54,3.0091093241244
95,43.578,-73.278,still water,396,919,80,-0.700969403641812
96,43.596,-73.2927,running water,288,905,81,-0.231196122779103
97,44.8683,-72.9815,still water,545,1090,65,1.93749282709138
98,44.7875,-73.0003,still water,635,898,65,-0.601737977350765
99,43.95257,-72.14671,still water,1070,815,63,-0.095311189735744
100,43.87905,-72.24647,still water,703,773,68,-0.974551031038278
101,44.23513,-72.428,still water,1600,1222,52,-0.685121207116751
102,43.54704,-73.18617,running water,655,1145,75,-0.358146589236535
103,44.673,-71.7041,running water,1460,806,48,3.28622016797813
104,43.86107,-73.07164,still water,574,1108,73,0.382569331791674
105,43.40533,-72.88681,still water,2215,1212,49,-0.812992399776486
106,43.6666,-73.2037,still water,423,815,78,-0.515911832859848
107,43.13874,-72.93092,running water,1475,988,64,-0.607176656612824
108,44.8372,-72.83482,still water,894,1410,57,0.576721874714547
109,44.99142,-72.89432,still water,455,1198,65,-0.735106079252393
110,44.11458,-72.17702,still water,1386,1083,57,-0.561489260455334
111,43.57392,-72.46444,still water,1192,909,65,-0.661068252220528
112,44.7013,-72.5578,running water,933,1152,58,-0.405836294332404
113,44.34983,-72.96959,still water,718,1199,64,2.6141059750942
114,43.65975,-73.23251,still water,489,920,75,-0.311639528684979
115,43.67413,-73.236,still water,500,970,76,0.313235104043472
116,43.5175,-73.24583,still water,420,778,80,-0.363804971883159
117,43.91503,-73.00349,still water,1770,1269,52,0.021466022154449
118,44.30261,-72.30451,still water,1365,1076,53,-0.34292538531998
119,44.7025,-73.3102,still water,198,921,74,-0.583200493437847
120,44.69722,-73.34028,still water,202,976,73,-0.556057735733473
121,44.74583,-73.30278,still water,102,871,74,-0.488147817066666
122,44.61588,-72.50571,still water,1226,1329,55,-0.572766680949445
123,44.6125,-72.532,running water,1110,1364,56,-0.443434723345478
124,43.03747,-72.94067,still water,2247,1104,53,0.075598458946711
125,42.8119,-72.56511,still water,413,1006,85,-0.01173093438001
126,43.69113,-73.21855,still water,579,1015,74,-0.639280771432578
127,44.10307,-72.07763,still water,830,891,64,-0.552354409093269
128,43.59361,-72.36333,still water,525,768,75,-0.608617539617635
129,42.91813,-72.9186,still water,2990,1681,39,-0.57710742822168
130,44.2945,-73.0951,still water,483,993,71,-0.731579297418215
131,43.76857,-73.18227,still water,540,1099,73,-0.290223071513262
132,44.987,-71.9284,still water,1437,1005,46,0.131368018942027
133,44.35529,-72.40185,still water,1345,1182,54,0.253111110638123
134,42.7532,-73.2346,running water,548,787,84,-0.26398345526971
135,42.80963,-73.28615,running water,482,834,85,1.14324998253167
136,42.766,-73.24315,running water,510,773,83,5.47094699229724
137,43.6475,-73.3149,running water,234,923,81,2.61236804957383
138,43.78322,-73.18027,still water,779,1131,70,1.33086285119373
139,43.78288,-73.16991,still water,653,1047,71,-0.513528390208773
140,44.28142,-72.93988,still water,1334,1267,56,-0.10992541157953
141,44.91945,-72.17207,still water,932,1226,56,0.01701198200636
142,44.84589,-73.36335,still water,111,858,74,-0.36550566400913
143,44.3344,-73.0065,still water,767,884,66,-0.160702207264009
144,44.4541,-72.9871,still water,604,1133,68,-0.554583603608325
145,44.83636,-73.14949,running water,102,913,74,0.416683750086072
146,44.5054,-72.62246,still water,741,976,64,-0.451283616095328
147,44.05058,-73.19244,still water,400,1060,75,-0.192665744254732
148,42.87,-73.02,still water,2169,1141,54,-0.558828068943159
149,43.675,-72.80703,still water,1529,823,58,-0.645191709420143
150,44.86866,-72.30872,still water,1169,1103,48,0.278620506511448
151,43.31528,-72.79108,still water,1400,962,64,-0.678416576332213
152,43.28158,-73.08835,running water,1398,1225,64,-0.468011001360028
153,44.76954,-73.2955,still water,100,873,75,1.31658711396294
154,42.77511,-73.21069,running water,1180,1266,72,0.637873471161382
155,43.6478,-73.217,still water,410,836,78,0.322145618850596
156,44.95441,-72.88539,still water,436,971,67,-0.534703089182449
157,44.954,-72.87889,still water,446,1037,67,-0.210399090158882
158,43.7642,-73.3431,still water,100,920,82,-0.544222337052099
159,44.72,-72.50822,still water,1236,1379,53,0.233943347636933
160,44.25082,-72.25473,still water,1069,763,59,-0.53605376986959
161,44.3868,-73.07116,still water,523,1190,62,-0.508545848435176
162,43.935,-72.1382,still water,417,764,72,-0.56662207863282
163,44.54854,-72.81045,still water,3930,1591,11,0.340531441941137
164,43.48536,-72.39056,still water,332,777,80,-0.83442179407181
165,43.02205,-73.18036,still water,854,789,77,-0.499383295877015
166,43.43525,-73.2058,still water,491,942,79,-0.541215038343221
167,43.4657,-73.2149,still water,476,913,79,-0.554065959301017
168,43.4386,-73.2014,still water,471,942,79,-0.646639746850938
169,43.49683,-73.20686,still water,499,981,78,-0.442605010361885
170,44.7784,-72.0728,still water,1168,994,52,-0.726479513762348
171,44.57663,-72.61395,running water,591,918,66,1.31461641515216
172,44.68027,-73.07052,running water,301,1044,70,3.4635700634647
173,44.61289,-72.66888,running water,554,912,66,1.43249587037221
174,44.75587,-72.6336,running water,1141,1080,55,4.59216746808577
175,44.31389,-72.30639,still water,1447,1124,52,0.872112753832762
176,44.58,-73.182,running water,264,932,74,-0.695177304813997
177,44.37067,-73.21562,running water,140,961,76,1.18917787404545
178,44.38651,-73.22502,still water,136,942,76,4.15527270703434
179,44.39144,-73.23092,running water,127,881,77,-0.008905935789269
180,44.40042,-73.23536,still water,110,856,77,1.38408580036052
181,44.39811,-73.23482,running water,104,856,77,-0.166240412703677
182,43.85185,-73.15898,still water,369,868,77,-0.102379924339954
183,43.9107,-73.27531,still water,183,883,78,-0.604989383816752
184,43.8132,-73.23568,running water,308,822,78,1.04140672306849
185,44.8818,-71.7773,still water,1824,1067,40,0.362761320767329
186,44.27634,-73.18371,running water,226,957,75,-0.076688037839026
187,44.24911,-73.22744,running water,130,1031,77,2.57237775935057
188,44.28767,-73.15345,running water,299,1030,73,0.911470884879555
189,44.2772,-73.082,running water,368,883,73,2.10571530207562
190,44.24299,-73.26059,running water,98,896,79,4.13947575554638
191,44.87976,-71.77705,still water,1827,1067,40,0.400311960449885
192,44.83476,-71.76035,still water,1275,947,49,-0.411050134047525
193,42.73769,-72.51003,still water,380,986,86,-0.594626201609991
194,43.4966,-73.2087,still water,495,972,77,-0.722325528567002
195,42.74086,-72.51353,still water,394,986,86,-0.843686135353423
196,42.7341,-72.5038,still water,384,967,87,-0.725356576913927
197,44.20431,-73.25227,running water,150,975,78,-0.793282115885464
198,44.2305,-73.2546,running water,112,920,79,2.63908567996533
199,44.9185,-72.1003,still water,958,970,55,-0.517148876989444
200,44.76594,-72.60342,still water,1145,1198,52,-0.339259798601087
201,44.80379,-72.25213,still water,1063,1270,54,-0.624149211258007
202,43.34056,-72.94181,still water,2680,1405,42,-0.56039092122542
203,43.22016,-72.75928,still water,1348,1341,66,-0.642375989804265
204,43.8657,-73.1474,still water,359,907,78,-0.825482838139536
205,43.64736,-72.36936,still water,1050,1170,65,-0.612348483842212
206,44.23288,-72.09226,running water,676,766,63,-0.267575927638591
207,44.2413,-72.10016,still water,816,782,60,1.49419156289523
208,44.24478,-72.10035,still water,803,785,62,-0.361200606985754
209,44.52424,-73.23296,still water,95,851,77,-0.501282079105636
210,44.6,-71.5527,running water,850,789,58,0.686764438108184
211,44.30778,-72.31003,still water,1365,1038,52,0.58259158939545
212,44.32468,-72.33907,still water,1279,1160,54,0.250168525849408
213,44.32228,-72.34033,still water,1320,1160,54,-0.056811088736869
214,44.30433,-72.20543,still water,1550,958,51,0.189646354580674
215,43.6348,-72.5422,still water,1154,867,64,0.36996578307514
216,43.38586,-73.22702,running water,481,873,79,-0.425121526543496
217,43.40465,-73.25041,running water,397,808,81,2.97556632237885
218,44.2588,-72.4292,still water,1097,1068,60,2.51078739615323
219,44.71446,-72.99669,running water,490,933,67,-0.629436229099605
220,44.9888,-72.85197,still water,463,1086,66,1.33326535885626
221,43.88991,-72.30985,still water,1315,894,57,-0.77180449513091
222,43.89049,-72.29678,still water,1275,897,58,-0.426946848178883
223,44.21207,-72.11513,still water,1183,941,58,-0.660239728074311
224,43.143,-72.46687,still water,615,902,78,-0.59662087531986
225,44.95786,-73.16618,running water,103,935,73,-0.482561528184232
226,44.92719,-72.98783,running water,223,1050,71,-0.58322466803156
227,44.92182,-73.12579,running water,105,963,73,3.3423796608375
228,44.91119,-72.89692,running water,377,1006,68,2.3150237734228
229,44.8342,-71.7804,still water,1334,983,49,1.22311513864385
230,44.49926,-72.63883,still water,781,981,64,-0.668711905167579
231,44.26,-72.57611,running water,544,842,68,-0.774333475744612
232,44.76397,-71.73825,still water,1183,836,52,2.09488621311807
233,44.7578,-71.73825,still water,1150,875,51,-0.57952874715633
234,43.68512,-73.22453,still water,640,1015,74,-0.148278818443775
235,43.83549,-73.38134,still water,94,765,82,-0.318792211548858
236,44.9676,-73.2703,running water,105,905,73,-0.499703783615672
237,45.0003,-73.2682,still water,106,911,72,-0.534418117721415
238,44.3967,-72.3853,still water,1416,1202,53,-0.60240383508777
239,44.60759,-72.50249,still water,1223,1358,55,-0.603274202563068
240,44.27657,-72.3387,still water,1697,1216,48,0.439015512488047
241,44.73782,-71.67196,still water,1033,807,54,-0.642761247196586
242,44.05966,-73.14688,running water,265,884,77,-0.475503107200024
243,42.79003,-73.20694,still water,1250,1260,72,1.45994174090109
244,44.5808,-73.1843,still water,113,932,76,-0.476186330989207
245,44.84709,-71.79442,still water,1400,936,48,-0.490188124884751
246,43.05641,-73.03549,still water,2378,1439,50,-0.57798794827643
247,44.30513,-72.44477,still water,725,832,66,0.025218392917865
248,43.84108,-72.18369,still water,385,765,74,-0.596989659562932
249,43.71535,-72.30787,still water,528,770,74,-0.421965743156959
250,43.72539,-72.28136,still water,417,782,74,-0.739013723718057
251,43.72495,-72.28169,still water,427,782,74,-0.455792690179323
252,44.7592,-71.7151,still water,1128,931,52,-0.543958610145429
253,44.70659,-73.28797,running water,105,797,75,-0.58717421666483
254,43.8009,-72.25902,still water,475,780,73,-0.05929505005573
255,44.31,-72.28084,still water,1462,1056,52,2.02571894686226
256,43.63925,-72.47375,running water,656,855,72,-0.056068613960739
257,44.06972,-73.21139,running water,150,967,78,4.34967522949727
258,44.00975,-72.11787,still water,471,786,68,0.62427077743162
259,44.50248,-72.63723,still water,745,962,64,-0.441597695579856
260,44.67186,-71.65627,running water,1200,837,51,-0.404702050707244
261,44.6819,-71.6416,running water,1162,848,52,2.81240377483158
262,44.29325,-72.23383,still water,1544,1108,52,3.71447084192827
263,44.28962,-72.22526,still water,1528,1108,52,-0.448358022185992
264,44.82867,-71.71305,still water,1240,924,50,-0.22152112369496
265,44.80721,-73.31145,still water,99,884,74,-0.324532966474655
266,44.82331,-73.30936,still water,130,874,74,-0.615715109454076
267,44.8773,-72.0528,still water,1135,964,53,-0.74948106742404
268,44.32528,-72.31999,still water,1300,1192,53,-0.171188663545525
269,43.44104,-73.13855,still water,1406,1163,62,-0.148131910893773
270,43.9997,-72.6083,still water,1480,1177,56,-0.26704223827877
271,44.36278,-71.95024,still water,787,846,63,-0.536706218224713
272,44.72018,-71.98552,still water,1834,1176,42,-0.688251106368991
273,43.5174,-73.2399,still water,426,804,80,2.2520353880677
274,43.47673,-73.19703,still water,533,1089,77,-0.478628699517956
275,43.58163,-73.41957,still water,100,774,85,-0.45563216455264
276,43.50848,-73.17842,running water,638,1020,76,-0.328862568504441
277,43.62709,-73.30806,running water,150,1020,81,3.84234286609828
278,43.56555,-73.2595,running water,380,864,81,1.8838933771829
279,43.48286,-73.0848,running water,1114,1160,67,2.56712990032618
280,43.62398,-73.36472,running water,110,797,82,1.39208607498696
281,43.5147,-73.2473,running water,396,781,80,0.789467662293129
282,42.802,-73.1915,still water,1123,1127,75,2.72141348857269
283,42.7918,-73.2646,still water,578,798,84,-0.468320935768484
284,43.58028,-73.245,still water,538,1069,77,-0.561014573192269
285,43.22908,-72.45586,still water,600,860,77,-0.366028036147925
286,44.26155,-72.21045,still water,1245,874,55,1.37979328467377
287,44.87661,-72.29314,still water,700,1065,52,-0.500098764164118
288,43.8717,-73.2681,still water,269,966,79,-0.212494150358841
289,44.24096,-72.24909,still water,1053,778,55,-0.497001583320899
290,43.05033,-73.0837,running water,1808,1430,52,-0.656796521819639
291,43.85655,-72.43983,still water,1454,1133,58,0.965668434226605
292,44.98844,-73.08833,running water,105,1014,72,-0.443724654450609
293,44.5677,-71.79771,still water,1400,795,50,-0.423032832029166
294,44.07795,-72.58833,still water,1350,926,56,0.959012873524245
295,42.81447,-72.8442,still water,1656,1268,63,-0.244865455809935
296,42.78813,-72.87772,still water,1711,1273,65,-0.190754015019119
297,44.919,-72.09999,running water,958,971,55,-1.4304693016068
298,43.8656,-73.1475,still water,378,907,78,0.595100172565232
299,43.1476,-73.2032,still water,782,909,75,-0.581403971733412
300,44.9133,-72.27006,still water,956,1000,56,-0.441166132451805
301,43.19632,-72.71722,still water,1826,1257,57,-0.672439304603747
302,43.84,-73.079,still water,545,1037,73,-0.081595451728697
303,44.6485,-72.53412,still water,1256,1362,53,-0.683474799008568
304,44.9119,-71.9862,still water,1287,1053,49,-0.426576521436577
305,43.02322,-73.18272,still water,850,789,77,-0.473802838670006
306,43.0379,-73.1742,still water,787,776,78,-0.57135202755359
307,44.5236,-73.153,still water,307,974,73,-0.788701764991758
308,44.377,-73.162,still water,340,966,73,0.007472571352321
309,44.058294,-73.28047,still water,1077,1233,63,0.047534981804512
310,44.62691,-73.27662,still water,122,885,75,-0.667278185075391
311,44.61311,-73.29151,still water,103,894,75,-0.246784595960858
312,44.61917,-73.29125,still water,130,919,75,-0.358131845863086
313,43.69324,-72.3237,still water,600,796,73,-0.655973923405687
314,42.8061,-73.19,still water,1122,1127,75,-0.625958763516367
315,44.8013,-71.85133,still water,1180,857,52,-0.494294907727128
316,43.7654,-73.2805,still water,630,1121,73,-0.099983569357346
317,44.76169,-73.06094,still water,750,1197,63,-0.622452934601105
318,42.8396,-73.11061,running water,2138,1368,55,-0.464612133944827
319,44.55638,-72.77568,still water,3008,1392,26,0.519535991032576
320,43.77223,-72.7602,running water,730,794,69,-0.779350416719741
321,43.759,-73.26483,still water,485,1031,75,5.7432357411507
322,43.7703,-73.2607,still water,680,1086,71,0.811371610399489
323,43.72699,-72.30344,still water,739,869,69,0.092605007346731
324,44.16083,-72.11231,still water,1132,843,58,-0.636403438998737
325,43.62943,-73.26878,still water,488,1007,78,-0.586846480674306
326,44.19221,-72.09708,still water,889,863,62,-0.643552555501918
327,44.474,-72.975,still water,693,1208,65,-0.318459275009884
328,43.57397,-73.39901,still water,210,769,85,-0.65871000454364
329,44.85,-71.7274,still water,1253,887,50,-0.263597243927826
330,43.4045,-73.0445,still water,1125,828,67,4.0309253386386
331,43.83149,-72.36975,still water,1025,811,62,-0.455929490987332
332,43.04833,-72.70516,still water,494,974,78,-0.287546298386626
333,44.73611,-73.31944,still water,100,909,74,2.27980423597871
334,44.89075,-72.82111,running water,366,975,67,-0.3950954541668
335,43.6435,-72.37358,still water,1088,1170,65,2.85531217270649
336,43.20806,-72.44425,running water,328,818,83,-0.648626173879397
337,43.82138,-73.21947,still water,393,890,78,-0.378082131789467
338,44.8386,-71.69781,still water,1250,1158,48,-0.573640475431988
339,44.8881,-71.69581,running water,1600,906,43,1.21610479909539
340,42.77,-72.526,still water,210,940,86,-0.530504484955623
341,44.5272,-71.81661,running water,1130,755,55,2.81526881363333
342,44.5565,-71.78911,still water,1200,787,54,2.81032463312162
343,44.53443,-71.81739,still water,1183,775,53,-0.038560639084181
344,44.53069,-71.79914,still water,1144,791,55,0.199808454194391
345,43.64285,-72.41131,running water,595,816,74,1.08106073034541
346,43.98769,-72.13878,running water,517,752,71,-0.489942969570867
347,43.41287,-72.91443,still water,2350,1325,50,6.37916700729917
348,43.41763,-72.92447,still water,2128,1288,51,-0.409298240876691
349,44.42988,-72.74284,still water,774,872,66,-0.757733684048101
350,44.75358,-72.77905,still water,1214,1451,54,-0.542853120703322
351,44.7722,-71.7369,still water,1154,855,52,-0.757603665779688
352,44.68583,-71.65917,still water,1245,792,51,0.256523124509895
353,42.91389,-72.6087,running water,299,949,84,-0.744308279390658
354,44.71129,-71.64271,still water,1044,774,54,2.46308671356593
355,44.714889,-72.10006,still water,1461,1178,47,-0.124558142005
356,44.71451,-71.63897,running water,1027,783,54,-0.80860082971129
357,42.8808,-72.7075,still water,1473,1225,67,-0.011850773188436
358,43.85347,-72.6469,running water,603,779,72,-0.364242031426275
359,44.08845,-72.5575,still water,892,848,62,3.6277439702041
360,44.173,-73.0828,still water,500,1123,70,-0.49171737225442
361,44.49146,-73.18567,still water,200,956,75,-0.709634215560198
362,44.5397,-73.26398,running water,98,908,76,-0.49855024876228
363,44.27124,-72.48521,running water,689,832,66,1.1760341956983
364,44.7561,-73.1532,still water,278,967,71,2.10290930927683
365,44.50133,-73.14513,still water,200,950,73,-0.486833534127699
366,43.52361,-73.2425,still water,420,778,80,-0.508200927240697
367,44.83567,-71.71506,still water,1264,923,50,1.06650369896549
368,44.83352,-71.75685,running water,1257,930,49,-0.385850407095499
369,44.24648,-72.43514,still water,1635,1184,56,-0.448944495013383
